strain,country,region,year,classification,strain,ST,K_locus,O_locus,O_type
GCF_900505735.1,Croatia,Europe_southern,2014,human_blood_bone_sterile,EuSCAPE_HR014,ST48,KL62,O1v1,O1
GCF_900513045.1,Italy,Europe_southern,2013,human_blood_bone_sterile,EuSCAPE_IT046,ST15,KL24,O1v1,O1
GCF_900513105.1,Italy,Europe_southern,2013,human_blood_bone_sterile,EuSCAPE_IT051,ST15,KL24,O1v1,O1
GCF_900513305.1,Italy,Europe_southern,2013,human_blood_bone_sterile,EuSCAPE_IT071,ST15,KL24,O1v1,O1
GCF_900514725.1,Italy,Europe_southern,2013,human_urogenital_urine,EuSCAPE_IT107,ST15,KL24,O1v1,O1
GCF_900508885.1,Turkey,Asia_western,2013,human_blood_bone_sterile,EuSCAPE_TR230,ST101,KL17,O1v1,O1
GCF_900517505.1,Spain,Europe_southern,2014,human_blood_bone_sterile,EuSCAPE_ES248,ST326,KL25,O1v1,O1
GCF_900514205.1,Italy,Europe_southern,2013,human_urogenital_urine,EuSCAPE_IT089,ST15,KL24,O1v1,O1
GCF_900504285.1,Romania,Europe_eastern,2014,human_blood_bone_sterile,EuSCAPE_RO078,ST15,KL24,O1v1,O1
GCF_900503865.1,UK,Europe_northern,2014,human_blood_bone_sterile,EuSCAPE_UK049,ST35,KL110,O1v1,O1
GCF_900507665.1,Turkey,Asia_western,2014,human_urogenital_urine,EuSCAPE_TR011,ST750,unknown,O1v1,O1
GCF_900504525.1,Romania,Europe_eastern,2014,human_urogenital_urine,EuSCAPE_RO016,ST15,KL24,O1v1,O1
GCF_900504665.1,Romania,Europe_eastern,2014,human_urogenital_urine,EuSCAPE_RO029,ST101,KL17,O1v1,O1
GCF_900504185.1,Romania,Europe_eastern,2013,human_urogenital_urine,EuSCAPE_RO069,ST15,KL24,O1v1,O1
GCF_900502985.1,Slovenia,Europe_southern,2013,human_urogenital_urine,EuSCAPE_SI002,ST101,KL17,O1v1,O1
GCF_900511085.1,Czech Republic,Europe_eastern,2014,human_respiratory,EuSCAPE_CZ021,ST525,KL45,O1v1,O1
GCF_900516525.1,Spain,Europe_southern,2013,human_urogenital_urine,EuSCAPE_ES083,ST15,KL112,O1v1,O1
GCF_900517535.1,Spain,Europe_southern,2014,human_urogenital_urine,EuSCAPE_ES256,ST35,KL22,O1v1,O1
GCF_900510375.1,France,Europe_western,2013,human_urogenital_urine,EuSCAPE_FR002,ST15,KL112,O1v1,O1
GCF_900516935.1,Hungary,Europe_eastern,2013,human_urogenital_urine,EuSCAPE_HU036,ST15,KL112,O1v1,O1
GCF_900506385.1,Ireland,Europe_northern,2014,human_wound_trauma,EuSCAPE_IE031,ST35,KL22,O1v1,O1
GCF_900514735.1,Italy,Europe_southern,2013,human_urogenital_urine,EuSCAPE_IT259,ST514,KL35,O1v1,O1
GCF_900502875.1,Portugal,Europe_southern,2014,human_abscess_pus_fluid,EuSCAPE_PT035,ST348,KL62,O1v1,O1
GCF_900502155.1,Portugal,Europe_southern,2014,human_urogenital_urine,EuSCAPE_PT045,ST348,KL62,O1v1,O1
GCF_900504385.1,Romania,Europe_eastern,2014,human_urogenital_urine,EuSCAPE_RO088,ST101,KL17,O1v1,O1
GCF_900504415.1,Romania,Europe_eastern,2014,human_respiratory,EuSCAPE_RO089,ST101,KL17,O1v1,O1
GCF_900504465.1,Romania,Europe_eastern,2014,human_urogenital_urine,EuSCAPE_RO095,ST101,KL17,O1v1,O1
GCF_900505205.1,Serbia,Europe_southern,2014,human_urogenital_urine,EuSCAPE_RS037,ST14,KL2,O1v1,O1
GCF_900507615.1,Turkey,Asia_western,2014,human_abscess_pus_fluid,EuSCAPE_TR002,ST14,KL2,O1v1,O1
GCF_900507625.1,Turkey,Asia_western,2014,human_urogenital_urine,EuSCAPE_TR009,ST14,KL2,O1v1,O1
GCF_900507635.1,Turkey,Asia_western,2014,human_blood_bone_sterile,EuSCAPE_TR010,ST14,KL2,O1v1,O1
GCF_900508145.1,Turkey,Asia_western,2014,human_urogenital_urine,EuSCAPE_TR280,ST101,KL17,O1v1,O1
GCF_900503895.1,UK,Europe_northern,2014,human_urogenital_urine,EuSCAPE_UK065,ST14,KL2,O1v1,O1
GCF_900504165.1,Romania,Europe_eastern,2014,human_urogenital_urine,EuSCAPE_RO012,ST101,KL17,O1v1,O1
GCF_900508775.1,Turkey,Asia_western,2014,human_blood_bone_sterile,EuSCAPE_TR207,ST101,KL17,O1v1,O1
GCF_900512305.1,Germany,Europe_western,2013,human_catheter_tube_tip,EuSCAPE_DE003,ST14,KL2,O1v1,O1
GCF_900516775.1,Hungary,Europe_eastern,2013,human_urogenital_urine,EuSCAPE_HU016,ST15,KL112,O1v1,O1
GCF_900505285.1,Serbia,Europe_southern,2013,human_urogenital_urine,EuSCAPE_RS050,ST3670,KL17,O1v1,O1
GCF_900511255.1,Austria,Europe_western,2014,human_wound_trauma,EuSCAPE_AT029,ST15,KL24,O1v1,O1
GCF_900511405.1,Austria,Europe_western,2013,human_wound_trauma,EuSCAPE_AT031,ST101,KL17,O1v1,O1
GCF_900507045.1,Belgium,Europe_western,2014,human_urogenital_urine,EuSCAPE_BE028,ST870,KL17,O1v1,O1
GCF_900507185.1,Belgium,Europe_western,2014,human_urogenital_urine,EuSCAPE_BE030,ST3638,KL61,O1v1,O1
GCF_900506895.1,Belgium,Europe_western,2014,human_respiratory,EuSCAPE_BE075,ST15,KL24,O1v1,O1
GCF_900510995.1,Czech Republic,Europe_eastern,2014,human_urogenital_urine,EuSCAPE_CZ015,ST35,KL22,O1v1,O1
GCF_900511035.1,Czech Republic,Europe_eastern,2014,human_urogenital_urine,EuSCAPE_CZ018,ST35,KL22,O1v1,O1
GCF_900512775.1,Germany,Europe_western,2014,human_respiratory,EuSCAPE_DE010,ST101,KL17,O1v1,O1
GCF_900512115.1,Germany,Europe_western,2014,human_urogenital_urine,EuSCAPE_DE015,ST299,KL7,O1v1,O1
GCF_900512275.1,Germany,Europe_western,2014,human_blood_bone_sterile,EuSCAPE_DE020,ST15,KL24,O1v1,O1
GCF_900512745.1,Germany,Europe_western,2014,human_respiratory,EuSCAPE_DE088,ST48,KL124,O1v1,O1
GCF_900512765.1,Germany,Europe_western,2014,human_wound_trauma,EuSCAPE_DE091,ST35,KL2,O1v1,O1
GCF_900517185.1,Spain,Europe_southern,2014,human_blood_bone_sterile,EuSCAPE_ES206,ST35,KL22,O1v1,O1
GCF_900517265.1,Spain,Europe_southern,2014,human_urogenital_urine,EuSCAPE_ES219,ST15,KL24,O1v1,O1
GCF_900511545.1,France,Europe_western,2013,human_urogenital_urine,EuSCAPE_FR001,ST101,KL17,O1v1,O1
GCF_900500885.1,Greece,Europe_southern,2014,human_urogenital_urine,EuSCAPE_GR071,ST101,KL17,O1v1,O1
GCF_900501435.1,Greece,Europe_southern,2013,human_blood_bone_sterile,EuSCAPE_GR113,ST14,KL16,O1v1,O1
GCF_900502265.1,Greece,Europe_southern,2013,human_wound_trauma,EuSCAPE_GR116,ST14,KL16,O1v1,O1
GCF_900505785.1,Croatia,Europe_southern,2014,human_blood_bone_sterile,EuSCAPE_HR015,ST35,KL22,O1v1,O1
GCF_900503365.1,Croatia,Europe_southern,2014,human_urogenital_urine,EuSCAPE_HR086,ST3132,KL142,O1v1,O1
GCF_900516445.1,Hungary,Europe_eastern,2013,human_urogenital_urine,EuSCAPE_HU007,ST15,KL112,O1v1,O1
GCF_900516785.1,Hungary,Europe_eastern,2013,human_abscess_pus_fluid,EuSCAPE_HU018,ST15,KL112,O1v1,O1
GCF_900516975.1,Hungary,Europe_eastern,2013,human_blood_bone_sterile,EuSCAPE_HU037,ST253,KL37,O1v1,O1
GCF_900507215.1,Ireland,Europe_northern,2013,human,EuSCAPE_IE002,ST133,KL116,O1v1,O1
GCF_900506295.1,Ireland,Europe_northern,2013,human_urogenital_urine,EuSCAPE_IE009,ST133,KL116,O1v1,O1
GCF_900506365.1,Ireland,Europe_northern,2014,human_urogenital_urine,EuSCAPE_IE018,ST1236,KL62,O1v1,O1
GCF_900506445.1,Ireland,Europe_northern,2014,human_respiratory,EuSCAPE_IE042,ST1236,KL62,O1v1,O1
GCF_900506475.1,Ireland,Europe_northern,2014,human_blood_bone_sterile,EuSCAPE_IE043,ST48,KL124,O1v1,O1
GCF_900515075.1,Italy,Europe_southern,2014,human_external,EuSCAPE_IT143,ST133,KL24,O1v1,O1
GCF_900515415.1,Italy,Europe_southern,2013,human_urogenital_urine,EuSCAPE_IT260,ST101,KL17,O1v1,O1
GCF_900512795.1,Norway,Europe_northern,2013,human_abscess_pus_fluid,EuSCAPE_NO002,ST101,KL17,O1v1,O1
GCF_900511485.1,Poland,Europe_eastern,2014,human_wound_trauma,EuSCAPE_PL041,ST15,KL24,O1v1,O1
GCF_900511515.1,Poland,Europe_eastern,2013,human_respiratory,EuSCAPE_PL042,ST15,KL24,O1v1,O1
GCF_900510315.1,Poland,Europe_eastern,2013,human_abscess_pus_fluid,EuSCAPE_PL055,ST3132,KL142,O1v1,O1
GCF_900510365.1,Poland,Europe_eastern,2014,human_blood_bone_sterile,EuSCAPE_PL058,ST35,KL110,O1v1,O1
GCF_900502645.1,Portugal,Europe_southern,2013,human_urogenital_urine,EuSCAPE_PT002,ST15,KL112,O1v1,O1
GCF_900502795.1,Portugal,Europe_southern,2014,human_urogenital_urine,EuSCAPE_PT021,ST15,KL112,O1v1,O1
GCF_900504765.1,Romania,Europe_eastern,2014,human_wound_trauma,EuSCAPE_RO004,ST101,KL17,O1v1,O1
GCF_900504455.1,Romania,Europe_eastern,2014,human_urogenital_urine,EuSCAPE_RO092,ST566,KL46,O1v1,O1
GCF_900504545.1,Romania,Europe_eastern,2013,human_urogenital_urine,EuSCAPE_RO100,ST15,KL24,O1v1,O1
GCF_900505495.1,Serbia,Europe_southern,2013,human_blood_bone_sterile,EuSCAPE_RS083,ST3671,KL30,O1v1,O1
GCF_900505515.1,Serbia,Europe_southern,2013,human_blood_bone_sterile,EuSCAPE_RS084,ST3671,KL30,O1v1,O1
GCF_900507925.1,Turkey,Asia_western,2013,human_blood_bone_sterile,EuSCAPE_TR055,ST101,KL17,O1v1,O1
GCF_900507515.1,Turkey,Asia_western,2013,human_blood_bone_sterile,EuSCAPE_TR157,ST15,KL112,O1v1,O1
GCF_900508795.1,Turkey,Asia_western,2014,human_urogenital_urine,EuSCAPE_TR213,ST504,KL62,O1v1,O1
GCF_900508875.1,Turkey,Asia_western,2014,human_blood_bone_sterile,EuSCAPE_TR224,ST101,KL17,O1v1,O1
GCF_900509055.1,Turkey,Asia_western,2013,human_abscess_pus_fluid,EuSCAPE_TR255,ST299,KL7,O1v1,O1
GCF_900509145.1,Turkey,Asia_western,2014,human_urogenital_urine,EuSCAPE_TR273,ST101,KL17,O1v1,O1
GCF_900509165.1,Turkey,Asia_western,2013,human_respiratory,EuSCAPE_TR276,ST101,KL17,O1v1,O1
GCF_900509195.1,Turkey,Asia_western,2013,human_respiratory,EuSCAPE_TR277,ST101,KL17,O1v1,O1
GCF_900508165.1,Turkey,Asia_western,2014,human_urogenital_urine,EuSCAPE_TR281,ST48,KL62,O1v1,O1
GCF_900508185.1,Turkey,Asia_western,2013,human_respiratory,EuSCAPE_TR290,ST101,KL17,O1v1,O1
GCF_900503985.1,UK,Europe_northern,2013,human_blood_bone_sterile,EuSCAPE_UK082,ST3682,KL30,O1v1,O1
GCF_900503225.1,UK,Europe_northern,2014,human_blood_bone_sterile,EuSCAPE_UK105,ST3682,KL30,O1v1,O1
GCF_900512715.1,Germany,Europe_western,2014,human_urogenital_urine,EuSCAPE_DE086,ST15,KL24,O1v1,O1
GCF_900516365.1,Spain,Europe_southern,2013,human_urogenital_urine,EuSCAPE_ES057,ST1961,KL48,O1v1,O1
GCF_900517145.1,Spain,Europe_southern,2014,human_urogenital_urine,EuSCAPE_ES200,ST48,KL124,O1v1,O1
GCF_900517545.1,Spain,Europe_southern,2014,human_respiratory,EuSCAPE_ES250,ST326,KL25,O1v1,O1
GCF_900505915.1,Croatia,Europe_southern,2013,human_wound_trauma,EuSCAPE_HR029,ST15,KL24,O1v1,O1
GCF_900505895.1,Croatia,Europe_southern,2014,human_urogenital_urine,EuSCAPE_HR035,ST15,KL24,O1v1,O1
GCF_900505905.1,Croatia,Europe_southern,2014,human_urogenital_urine,EuSCAPE_HR038,ST15,KL24,O1v1,O1
GCF_900505885.1,Croatia,Europe_southern,2014,human_urogenital_urine,EuSCAPE_HR039,ST15,KL24,O1v1,O1
GCF_900505935.1,Croatia,Europe_southern,2014,human_wound_trauma,EuSCAPE_HR047,ST15,KL24,O1v1,O1
GCF_900506155.1,Croatia,Europe_southern,2014,human_urogenital_urine,EuSCAPE_HR072,ST15,KL24,O1v1,O1
GCF_900506225.1,Croatia,Europe_southern,2014,human_blood_bone_sterile,EuSCAPE_HR080,ST15,KL24,O1v1,O1
GCF_900516715.1,Hungary,Europe_eastern,2013,human_urogenital_urine,EuSCAPE_HU012,ST15,KL112,O1v1,O1
GCF_900516805.1,Hungary,Europe_eastern,2013,human_urogenital_urine,EuSCAPE_HU019,ST15,KL112,O1v1,O1
GCF_900517025.1,Hungary,Europe_eastern,2013,human_urogenital_urine,EuSCAPE_HU042,ST15,KL112,O1v1,O1
GCF_900513175.1,Israel,Asia_western,2013,human_urogenital_urine,EuSCAPE_IL038,ST458-1LV,KL24,O1v1,O1
GCF_900513185.1,Italy,Europe_southern,2013,human_wound_trauma,EuSCAPE_IT059,ST2791,KL48,O1v1,O1
GCF_900514815.1,Italy,Europe_southern,2014,human_blood_bone_sterile,EuSCAPE_IT121,ST20,KL24,O1v1,O1
GCF_900514455.1,Italy,Europe_southern,2014,human_blood_bone_sterile,EuSCAPE_IT225,ST461,KL25,O1v1,O1
GCF_900514595.1,Italy,Europe_southern,2014,human_urogenital_urine,EuSCAPE_IT245,ST3660,KL25,O1v1,O1
GCF_900502655.1,Portugal,Europe_southern,2013,human_blood_bone_sterile,EuSCAPE_PT001,ST3650,KL110,O1v1,O1
GCF_900502805.1,Portugal,Europe_southern,2014,human_urogenital_urine,EuSCAPE_PT020,ST3650,KL110,O1v1,O1
GCF_900502055.1,Portugal,Europe_southern,2014,human_urogenital_urine,EuSCAPE_PT083,ST24,KL25,O1v1,O1
GCF_900504045.1,Romania,Europe_eastern,2013,human_urogenital_urine,EuSCAPE_RO049,ST15,KL24,O1v1,O1
GCF_900504145.1,Romania,Europe_eastern,2014,human_respiratory,EuSCAPE_RO065,ST15,KL24,O1v1,O1
GCF_900504275.1,Romania,Europe_eastern,2014,human_urogenital_urine,EuSCAPE_RO077,ST15,KL48,O1v1,O1
GCF_900507145.1,Serbia,Europe_southern,2014,human_urogenital_urine,EuSCAPE_RS109,ST86,KL2,O1v1,O1
GCF_900503035.1,Slovenia,Europe_southern,2014,human_respiratory,EuSCAPE_SI009,ST461,KL25,O1v1,O1
GCF_900510785.1,Slovakia,Europe_eastern,2014,human_urogenital_urine,EuSCAPE_SK020,ST20,KL24,O1v1,O1
GCF_900508035.1,Turkey,Asia_western,2014,human_urogenital_urine,EuSCAPE_TR080,ST3679,KL25,O1v1,O1
GCF_900507265.1,Turkey,Asia_western,2013,human_wound_trauma,EuSCAPE_TR098,ST48,KL62,O1v1,O1
GCF_900507315.1,Turkey,Asia_western,2014,human_urogenital_urine,EuSCAPE_TR107,ST15,KL112,O1v1,O1
GCF_900508575.1,Turkey,Asia_western,2013,human_wound_trauma,EuSCAPE_TR183,ST35,KL2,O1v1,O1
GCF_900508705.1,Turkey,Asia_western,2014,human_blood_bone_sterile,EuSCAPE_TR200,ST15,KL24,O1v1,O1
GCF_900504695.1,UK,Europe_northern,2013,human_urogenital_urine,EuSCAPE_UK007,ST73,KL25,O1v1,O1
GCF_900502565.1,Denmark,Europe_northern,2014,human_blood_bone_sterile,EuSCAPE_DK007,ST1414,unknown,O1v1,O1
GCF_900515675.1,Italy,Europe_southern,2014,human_wound_trauma,EuSCAPE_IT405,ST35,unknown,O1v1,O1
GCF_900503935.1,UK,Europe_northern,2014,human_urogenital_urine,EuSCAPE_UK069,ST449,unknown,O1v1,O1
GCF_900503255.1,UK,Europe_northern,2014,human_urogenital_urine,EuSCAPE_UK083,ST1496,unknown,O1v1,O1
GCF_900514955.1,Italy,Europe_southern,2014,human_abscess_pus_fluid,EuSCAPE_IT135,ST2777,unknown,O1v1,O1
GCF_900502185.1,Portugal,Europe_southern,2014,human_respiratory,EuSCAPE_PT092,ST152,unknown,O1v1,O1
GCF_900508115.1,Turkey,Asia_western,2014,human_blood_bone_sterile,EuSCAPE_TR094,ST3680,unknown,O1v1,O1
GCF_900506785.1,Belgium,Europe_western,2014,human_urogenital_urine,EuSCAPE_BE025,ST15,KL24,O1v1,O1
GCF_900506715.1,Belgium,Europe_western,2014,human_abscess_pus_fluid,EuSCAPE_BE047,ST101,KL17,O1v1,O1
GCF_900506735.1,Belgium,Europe_western,2014,human_abscess_pus_fluid,EuSCAPE_BE053,ST101,KL17,O1v1,O1
GCF_900506775.1,Belgium,Europe_western,2013,human_respiratory,EuSCAPE_BE064,ST101,KL17,O1v1,O1
GCF_900506845.1,Belgium,Europe_western,2013,human_abscess_pus_fluid,EuSCAPE_BE067,ST101,KL17,O1v1,O1
GCF_900506905.1,Belgium,Europe_western,2013,human_urogenital_urine,EuSCAPE_BE076,ST15,KL24,O1v1,O1
GCF_900506885.1,Belgium,Europe_western,2014,human_respiratory,EuSCAPE_BE079,ST101,KL17,O1v1,O1
GCF_900506945.1,Belgium,Europe_western,2014,human_respiratory,EuSCAPE_BE082,ST101,KL17,O1v1,O1
GCF_900506935.1,Belgium,Europe_western,2014,human_respiratory,EuSCAPE_BE083,ST101,KL17,O1v1,O1
GCF_900516585.1,Spain,Europe_southern,2013,human_urogenital_urine,EuSCAPE_ES080,ST15,KL24,O1v1,O1
GCF_900517835.1,Greece,Europe_southern,2013,human_respiratory,EuSCAPE_GR006,ST101,KL17,O1v1,O1
GCF_900502305.1,Greece,Europe_southern,2014,human_wound_trauma,EuSCAPE_GR125,ST101,KL17,O1v1,O1
GCF_900506035.1,Croatia,Europe_southern,2014,human_urogenital_urine,EuSCAPE_HR057,ST101,KL17,O1v1,O1
GCF_900516765.1,Hungary,Europe_eastern,2013,human_respiratory,EuSCAPE_HU014,ST15,KL64,O1v1,O1
GCF_900513805.1,Israel,Asia_western,2014,human_urogenital_urine,EuSCAPE_IL084,ST101,KL17,O1v1,O1
GCF_900514115.1,Italy,Europe_southern,2013,human_respiratory,EuSCAPE_IT014,ST101,KL17,O1v1,O1
GCF_900512855.1,Italy,Europe_southern,2013,human_respiratory,EuSCAPE_IT023,ST15,KL24,O1v1,O1
GCF_900513015.1,Italy,Europe_southern,2013,human_blood_bone_sterile,EuSCAPE_IT042,ST101,KL17,O1v1,O1
GCF_900514245.1,Italy,Europe_southern,2014,human_respiratory,EuSCAPE_IT198,ST15,KL24,O1v1,O1
GCF_900514265.1,Italy,Europe_southern,2014,human_respiratory,EuSCAPE_IT202,ST15,KL24,O1v1,O1
GCF_900513835.1,Montenegro,Europe_southern,2014,human_respiratory,EuSCAPE_ME001,ST15,KL24,O1v1,O1
GCF_900513905.1,Montenegro,Europe_southern,2014,human_catheter_tube_tip,EuSCAPE_ME007,ST15,KL24,O1v1,O1
GCF_900513915.1,Montenegro,Europe_southern,2014,human_catheter_tube_tip,EuSCAPE_ME012,ST101,KL17,O1v1,O1
GCF_900513955.1,Montenegro,Europe_southern,2014,human_wound_trauma,EuSCAPE_ME014,ST15,KL24,O1v1,O1
GCF_900513985.1,Montenegro,Europe_southern,2014,human_blood_bone_sterile,EuSCAPE_ME015,ST15,KL24,O1v1,O1
GCF_900510205.1,Poland,Europe_eastern,2014,human_urogenital_urine,EuSCAPE_PL034,ST15,KL24,O1v1,O1
GCF_900504065.1,Romania,Europe_eastern,2013,human_respiratory,EuSCAPE_RO010,ST101,KL17,O1v1,O1
GCF_900504345.1,Romania,Europe_eastern,2013,human_blood_bone_sterile,EuSCAPE_RO014,ST101,KL17,O1v1,O1
GCF_900504445.1,Romania,Europe_eastern,2014,human_respiratory,EuSCAPE_RO015,ST101,KL17,O1v1,O1
GCF_900504735.1,Romania,Europe_eastern,2014,human_urogenital_urine,EuSCAPE_RO018,ST15,KL24,O1v1,O1
GCF_900504555.1,Romania,Europe_eastern,2014,human_urogenital_urine,EuSCAPE_RO023,ST101,KL17,O1v1,O1
GCF_900504575.1,Romania,Europe_eastern,2013,human_blood_bone_sterile,EuSCAPE_RO026,ST101,KL17,O1v1,O1
GCF_900504635.1,Romania,Europe_eastern,2013,human_respiratory,EuSCAPE_RO033,ST15,KL24,O1v1,O1
GCF_900504025.1,Romania,Europe_eastern,2013,human_urogenital_urine,EuSCAPE_RO045,ST15,KL24,O1v1,O1
GCF_900504035.1,Romania,Europe_eastern,2013,human_blood_bone_sterile,EuSCAPE_RO051,ST15,KL24,O1v1,O1
GCF_900504095.1,Romania,Europe_eastern,2014,human_urogenital_urine,EuSCAPE_RO056,ST101,KL17,O1v1,O1
GCF_900504105.1,Romania,Europe_eastern,2014,human_blood_bone_sterile,EuSCAPE_RO061,ST101,KL17,O1v1,O1
GCF_900504125.1,Romania,Europe_eastern,2013,human_urogenital_urine,EuSCAPE_RO064,ST15,KL24,O1v1,O1
GCF_900504175.1,Romania,Europe_eastern,2013,human_urogenital_urine,EuSCAPE_RO067,ST101,KL17,O1v1,O1
GCF_900504305.1,Romania,Europe_eastern,2013,human_urogenital_urine,EuSCAPE_RO080,ST15,KL24,O1v1,O1
GCF_900504325.1,Romania,Europe_eastern,2014,human_urogenital_urine,EuSCAPE_RO082,ST101,KL17,O1v1,O1
GCF_900504335.1,Romania,Europe_eastern,2014,human_urogenital_urine,EuSCAPE_RO083,ST101,KL17,O1v1,O1
GCF_900504375.1,Romania,Europe_eastern,2014,human_urogenital_urine,EuSCAPE_RO084,ST101,KL17,O1v1,O1
GCF_900504495.1,Romania,Europe_eastern,2013,human_respiratory,EuSCAPE_RO101,ST101,KL17,O1v1,O1
GCF_900503305.1,Romania,Europe_eastern,2013,human_urogenital_urine,EuSCAPE_RO103,ST101,KL17,O1v1,O1
GCF_900505805.1,Romania,Europe_eastern,2013,human_respiratory,EuSCAPE_RO107,ST101,KL17,O1v1,O1
GCF_900505955.1,Romania,Europe_eastern,2013,human_urogenital_urine,EuSCAPE_RO109,ST15,KL24,O1v1,O1
GCF_900506145.1,Romania,Europe_eastern,2013,human_wound_trauma,EuSCAPE_RO111,ST101,KL17,O1v1,O1
GCF_900503345.1,Romania,Europe_eastern,2013,human_urogenital_urine,EuSCAPE_RO113,ST101,KL17,O1v1,O1
GCF_900504885.1,Romania,Europe_eastern,2013,human_respiratory,EuSCAPE_RO115,ST101,KL17,O1v1,O1
GCF_900505075.1,Romania,Europe_eastern,2013,human_urogenital_urine,EuSCAPE_RO117,ST101,KL17,O1v1,O1
GCF_900505175.1,Romania,Europe_eastern,2013,human_respiratory,EuSCAPE_RO118,ST101,KL17,O1v1,O1
GCF_900505305.1,Romania,Europe_eastern,2013,human_blood_bone_sterile,EuSCAPE_RO119,ST101,KL17,O1v1,O1
GCF_900505575.1,Romania,Europe_eastern,2013,human_blood_bone_sterile,EuSCAPE_RO123,ST101,KL17,O1v1,O1
GCF_900505625.1,Romania,Europe_eastern,2013,human_urogenital_urine,EuSCAPE_RO125,ST101,KL17,O1v1,O1
GCF_900505645.1,Romania,Europe_eastern,2013,human_respiratory,EuSCAPE_RO126,ST101,KL17,O1v1,O1
GCF_900502495.1,Serbia,Europe_southern,2013,human_wound_trauma,EuSCAPE_RS006,ST101,KL17,O1v1,O1
GCF_900501645.1,Serbia,Europe_southern,2013,human_urogenital_urine,EuSCAPE_RS010,ST101,KL17,O1v1,O1
GCF_900505045.1,Serbia,Europe_southern,2014,human_blood_bone_sterile,EuSCAPE_RS011,ST15,KL24,O1v1,O1
GCF_900505095.1,Serbia,Europe_southern,2014,human_urogenital_urine,EuSCAPE_RS016,ST101,KL17,O1v1,O1
GCF_900505135.1,Serbia,Europe_southern,2014,human_urogenital_urine,EuSCAPE_RS017,ST101,KL17,O1v1,O1
GCF_900503405.1,Serbia,Europe_southern,2014,human_blood_bone_sterile,EuSCAPE_RS018,ST101,KL17,O1v1,O1
GCF_900503395.1,Serbia,Europe_southern,2014,human_urogenital_urine,EuSCAPE_RS025,ST101,KL17,O1v1,O1
GCF_900505125.1,Serbia,Europe_southern,2014,human_wound_trauma,EuSCAPE_RS026,ST101,KL17,O1v1,O1
GCF_900505145.1,Serbia,Europe_southern,2013,human_blood_bone_sterile,EuSCAPE_RS027,ST101,KL17,O1v1,O1
GCF_900505195.1,Serbia,Europe_southern,2013,human_blood_bone_sterile,EuSCAPE_RS028,ST101,KL17,O1v1,O1
GCF_900503425.1,Serbia,Europe_southern,2014,human_urogenital_urine,EuSCAPE_RS033,ST101,KL17,O1v1,O1
GCF_900505185.1,Serbia,Europe_southern,2014,human_urogenital_urine,EuSCAPE_RS034,ST101,KL17,O1v1,O1
GCF_900503455.1,Serbia,Europe_southern,2014,human_wound_trauma,EuSCAPE_RS035,ST101,KL17,O1v1,O1
GCF_900503475.1,Serbia,Europe_southern,2013,human_blood_bone_sterile,EuSCAPE_RS038,ST101,KL17,O1v1,O1
GCF_900505255.1,Serbia,Europe_southern,2014,human_wound_trauma,EuSCAPE_RS042,ST101,KL17,O1v1,O1
GCF_900505275.1,Serbia,Europe_southern,2013,human_blood_bone_sterile,EuSCAPE_RS043,ST101,KL17,O1v1,O1
GCF_900503445.1,Serbia,Europe_southern,2014,human_blood_bone_sterile,EuSCAPE_RS044,ST101,KL17,O1v1,O1
