strain,Sample name,Meropenem MIC (centralised re-testing),ompK35 functionality,ompK36 functionality,Colistin resistance
GCF_900509295.1,EuSCAPE_DK003,Not tested,Functional,Functional,Unknown
GCF_900502555.1,EuSCAPE_DK006,Not tested,Functional,Functional,Unknown
GCF_900502575.1,EuSCAPE_DK010,Not tested,Functional,Functional,Unknown
GCF_900502605.1,EuSCAPE_DK011,Not tested,Functional,Functional,Unknown
GCF_900509655.1,EuSCAPE_DK012,Not tested,Functional,Functional,Unknown
GCF_900509335.1,EuSCAPE_DK014,Not tested,Functional,Functional,Unknown
GCF_900502595.1,EuSCAPE_DK018,Not tested,Functional,Functional,Unknown
GCF_900502695.1,EuSCAPE_PT008,Not tested,Functional,Functional,Unknown
GCF_900502815.1,EuSCAPE_PT023,Not tested,Functional,Functional,Unknown
GCF_900502825.1,EuSCAPE_PT025,Not tested,Functional,Functional,Unknown
GCF_900502845.1,EuSCAPE_PT026,Not tested,Functional,Functional,Unknown
GCF_900502865.1,EuSCAPE_PT034,Not tested,Functional,Functional,Unknown
GCF_900502875.1,EuSCAPE_PT035,Not tested,Functional,Functional,Unknown
GCF_900502905.1,EuSCAPE_PT036,Not tested,Functional,Functional,Unknown
GCF_900503325.1,EuSCAPE_RO112,Not tested,Functional,Functional,Unknown
GCF_900509765.1,EuSCAPE_HR033,Not tested,Functional,Functional,Unknown
GCF_900503995.1,EuSCAPE_RO044,Not tested,Functional,Functional,Unknown
GCF_900504275.1,EuSCAPE_RO077,Not tested,Functional,Functional,Unknown
GCF_900504405.1,EuSCAPE_RO091,Not tested,Functional,Functional,Unknown
GCF_900504455.1,EuSCAPE_RO092,Not tested,Functional,Functional,Unknown
GCF_900504915.1,EuSCAPE_RO102,Not tested,Functional,Functional,Unknown
GCF_900505715.1,EuSCAPE_HR011,Not tested,Functional,Functional,Unknown
GCF_900505985.1,EuSCAPE_HR056,Not tested,Functional,Functional,Unknown
GCF_900506495.1,EuSCAPE_BE005,Not tested,Functional,Functional,Unknown
GCF_900506615.1,EuSCAPE_BE020,Not tested,Functional,Functional,Unknown
GCF_900507045.1,EuSCAPE_BE028,Not tested,Functional,Functional,Unknown
GCF_900504755.1,EuSCAPE_RO024,Not tested,Functional,Functional,Resistant
GCF_900513105.1,EuSCAPE_IT051,Not tested,Functional,Functional,Sensitive
GCF_900501745.1,EuSCAPE_PT040,Not tested,Functional,Functional,Unknown
GCF_900501735.1,EuSCAPE_PT043,Not tested,Functional,Functional,Unknown
GCF_900501795.1,EuSCAPE_PT050,Not tested,Functional,Functional,Unknown
GCF_900501895.1,EuSCAPE_PT055,Not tested,Functional,Functional,Unknown
GCF_900501885.1,EuSCAPE_PT056,Not tested,Functional,Functional,Unknown
GCF_900501865.1,EuSCAPE_PT057,Not tested,Functional,Functional,Unknown
GCF_900501945.1,EuSCAPE_PT060,Not tested,Functional,Functional,Unknown
GCF_900501935.1,EuSCAPE_PT062,Not tested,Functional,Functional,Unknown
GCF_900501925.1,EuSCAPE_PT063,Not tested,Functional,Functional,Unknown
GCF_900501955.1,EuSCAPE_PT064,Not tested,Functional,Functional,Unknown
GCF_900502045.1,EuSCAPE_PT072,Not tested,Functional,Functional,Unknown
GCF_900502025.1,EuSCAPE_PT073,Not tested,Functional,Functional,Unknown
GCF_900502165.1,EuSCAPE_PT096,Not tested,Functional,Functional,Unknown
GCF_900502645.1,EuSCAPE_PT002,Not tested,Functional,Functional,Unknown
GCF_900502625.1,EuSCAPE_PT003,Not tested,Functional,Functional,Unknown
GCF_900502675.1,EuSCAPE_PT004,Not tested,Functional,Functional,Unknown
GCF_900502665.1,EuSCAPE_PT005,Not tested,Functional,Functional,Unknown
GCF_900502685.1,EuSCAPE_PT007,Not tested,Functional,Functional,Unknown
GCF_900502715.1,EuSCAPE_PT009,Not tested,Functional,Functional,Unknown
GCF_900502735.1,EuSCAPE_PT010,Not tested,Functional,Functional,Unknown
GCF_900502725.1,EuSCAPE_PT011,Not tested,Functional,Functional,Unknown
GCF_900502745.1,EuSCAPE_PT012,Not tested,Functional,Functional,Unknown
GCF_900502755.1,EuSCAPE_PT013,Not tested,Functional,Functional,Unknown
GCF_900502765.1,EuSCAPE_PT014,Not tested,Functional,Functional,Unknown
GCF_900502775.1,EuSCAPE_PT019,Not tested,Functional,Functional,Unknown
GCF_900502795.1,EuSCAPE_PT021,Not tested,Functional,Functional,Unknown
GCF_900502835.1,EuSCAPE_PT028,Not tested,Functional,Functional,Unknown
GCF_900502885.1,EuSCAPE_PT031,Not tested,Functional,Functional,Unknown
GCF_900502895.1,EuSCAPE_PT032,Not tested,Functional,Functional,Unknown
GCF_900502175.1,EuSCAPE_PT094,Not tested,Functional,Functional,Unknown
GCF_900502705.1,EuSCAPE_PT006,Not tested,Functional,Functional,Unknown
GCF_902155865.1,EuSCAPE_RO052,Not tested,Functional,Functional,Resistant
GCF_900504075.1,EuSCAPE_RO055,Not tested,Functional,Functional,Sensitive
GCF_900513885.1,EuSCAPE_ME008,Not tested,Functional,Functional,Unknown
GCF_900502615.1,EuSCAPE_DK017,Not tested,Functional,Functional,Unknown
GCF_900512335.1,EuSCAPE_DE022,Not tested,Functional,Functional,Resistant
GCF_900504825.1,EuSCAPE_UK028,Not tested,Functional,Functional,Resistant
GCF_900510545.1,EuSCAPE_FR043,Not tested,Functional,Functional,Sensitive
GCF_900512015.1,EuSCAPE_MT017,Not tested,Functional,Functional,Sensitive
GCF_900517545.1,EuSCAPE_ES250,Not tested,Functional,Functional,Sensitive
GCF_900502535.1,EuSCAPE_DK005,Not tested,Functional,Functional,Unknown
GCF_900505695.1,EuSCAPE_RO106,Not tested,Functional,Functional,Unknown
GCF_900512615.1,EuSCAPE_DE059,8,Functional,Functional,Sensitive
GCF_900509005.1,EuSCAPE_TR253,8,Functional,Functional,Sensitive
GCF_900513115.1,EuSCAPE_IT050,16,Functional,Functional,Sensitive
GCF_900515655.1,EuSCAPE_IT400,16,Functional,Functional,Sensitive
GCF_900508805.1,EuSCAPE_TR209,16,Functional,Functional,Sensitive
GCF_900508995.1,EuSCAPE_TR252,16,Functional,Functional,Sensitive
GCF_900503435.1,EuSCAPE_RS031,32,Functional,Functional,Resistant
GCF_900503495.1,EuSCAPE_RS051,>32,Functional,Functional,Sensitive
GCF_902157085.1,EuSCAPE_ES073,8,Functional,Functional,Sensitive
GCF_900503065.1,EuSCAPE_UK070,8,Functional,Functional,Sensitive
GCF_900503915.1,EuSCAPE_UK063,8,Functional,Functional,Sensitive
GCF_900504685.1,EuSCAPE_RO039,8,Functional,Functional,Sensitive
GCF_900504855.1,EuSCAPE_RO005,8,Functional,Functional,Sensitive
GCF_902156795.1,EuSCAPE_GR153,8,Functional,Functional,Unknown
GCF_900501905.1,EuSCAPE_GR101,8,Functional,Functional,Unknown
GCF_900504225.1,EuSCAPE_RO076,16,Functional,Functional,Resistant
GCF_902156285.1,EuSCAPE_DE072,16,Functional,Functional,Sensitive
GCF_900512655.1,EuSCAPE_DE076,16,Functional,Functional,Sensitive
GCF_900503655.1,EuSCAPE_LU006,16,Functional,Functional,Sensitive
GCF_902156215.1,EuSCAPE_LU018,16,Functional,Functional,Unknown
GCF_902156825.1,EuSCAPE_DE073,32,Functional,Functional,Resistant
GCF_900515615.1,EuSCAPE_IT396,32,Functional,Functional,Sensitive
GCF_900503935.1,EuSCAPE_UK069,>32,Functional,Functional,Sensitive
GCF_902156555.1,EuSCAPE_GR075,16,Functional,Functional,Unknown
GCF_900502295.1,EuSCAPE_GR124,>32,Functional,Functional,Unknown
GCF_900506775.1,EuSCAPE_BE064,8,Functional,Functional,Unknown
GCF_900506885.1,EuSCAPE_BE079,8,Functional,Functional,Unknown
GCF_900513045.1,EuSCAPE_IT046,16,Functional,Functional,Sensitive
GCF_900506945.1,EuSCAPE_BE082,16,Functional,Functional,Unknown
GCF_900506935.1,EuSCAPE_BE083,16,Functional,Functional,Unknown
GCF_900513945.1,EuSCAPE_ME016,8,Functional,Functional,Unknown
GCF_900503485.1,EuSCAPE_RS045,16,Functional,Functional,Resistant
GCF_900513825.1,EuSCAPE_ME004,16,Functional,Functional,Unknown
GCF_900513855.1,EuSCAPE_ME005,16,Functional,Functional,Unknown
GCF_900513925.1,EuSCAPE_ME011,16,Functional,Functional,Unknown
GCF_900514035.1,EuSCAPE_ME020,16,Functional,Functional,Unknown
GCF_902156005.1,EuSCAPE_DE019,32,Functional,Functional,Sensitive
GCF_902155935.1,EuSCAPE_RS010,32,Functional,Functional,Sensitive
GCF_900503115.1,EuSCAPE_UK075,32,Functional,Functional,Sensitive
GCF_902155965.1,EuSCAPE_RS081,32,Functional,Functional,Sensitive
GCF_900504085.1,EuSCAPE_RO054,32,Functional,Functional,Sensitive
GCF_900505115.1,EuSCAPE_RS021,32,Functional,Functional,Sensitive
GCF_902155985.1,EuSCAPE_IE008,32,Functional,Functional,Sensitive
GCF_900506355.1,EuSCAPE_IE019,32,Functional,Functional,Sensitive
GCF_900508595.1,EuSCAPE_TR184,32,Functional,Functional,Unknown
GCF_900503555.1,EuSCAPE_RS072,>32,Functional,Functional,Resistant
GCF_900503605.1,EuSCAPE_RS102,>32,Functional,Functional,Resistant
GCF_900505235.1,EuSCAPE_RS040,>32,Functional,Functional,Resistant
GCF_902156175.1,EuSCAPE_CZ007,>32,Functional,Functional,Sensitive
GCF_902156145.1,EuSCAPE_RS002,>32,Functional,Functional,Sensitive
GCF_900504005.1,EuSCAPE_RO046,>32,Functional,Functional,Sensitive
GCF_900505165.1,EuSCAPE_RS032,>32,Functional,Functional,Sensitive
GCF_900505295.1,EuSCAPE_RS049,>32,Functional,Functional,Sensitive
GCF_900505355.1,EuSCAPE_RS057,>32,Functional,Functional,Sensitive
GCF_902156105.1,EuSCAPE_RS064,>32,Functional,Functional,Sensitive
GCF_900509175.1,EuSCAPE_TR275,>32,Functional,Functional,Sensitive
GCF_900516635.1,EuSCAPE_ES093,16,Functional,Functional,Sensitive
GCF_900511635.1,EuSCAPE_FR007,8,Functional,Functional,Sensitive
GCF_900517675.1,EuSCAPE_ES283,8,Functional,Functional,Sensitive
GCF_900506855.1,EuSCAPE_BE074,16,Functional,Functional,Unknown
GCF_900509155.1,EuSCAPE_TR274,16,Functional,Functional,Unknown
GCF_900507915.1,EuSCAPE_TR056,32,Functional,Functional,Resistant
GCF_900517555.1,EuSCAPE_ES251,32,Functional,Functional,Sensitive
GCF_900501185.1,EuSCAPE_ES150,32,Functional,Functional,Sensitive
GCF_900507955.1,EuSCAPE_TR058,32,Functional,Functional,Sensitive
GCF_900507335.1,EuSCAPE_TR121,>32,Functional,Functional,Sensitive
GCF_900516165.1,EuSCAPE_IT273,8,Functional,Functional,Sensitive
GCF_900516415.1,EuSCAPE_ES065,8,Functional,Functional,Sensitive
GCF_900517375.1,EuSCAPE_ES225,8,Functional,Functional,Sensitive
GCF_900516775.1,EuSCAPE_HU016,8,Functional,Functional,Sensitive
GCF_900504775.1,EuSCAPE_UK023,0.12,Functional,Functional,Resistant
GCF_900508415.1,EuSCAPE_CZ006,0.12,Functional,Functional,Resistant
GCF_900508925.1,EuSCAPE_TR233,0.12,Functional,Functional,Resistant
GCF_900510105.1,EuSCAPE_PL010,0.12,Functional,Functional,Sensitive
GCF_900510175.1,EuSCAPE_PL030,0.12,Functional,Functional,Sensitive
GCF_900510375.1,EuSCAPE_FR002,0.12,Functional,Functional,Sensitive
GCF_900510575.1,EuSCAPE_FR052,0.12,Functional,Functional,Sensitive
GCF_900510995.1,EuSCAPE_CZ015,0.12,Functional,Functional,Sensitive
GCF_900511115.1,EuSCAPE_CZ025,0.12,Functional,Functional,Sensitive
GCF_900511595.1,EuSCAPE_FR017,0.12,Functional,Functional,Sensitive
GCF_900511615.1,EuSCAPE_FR022,0.12,Functional,Functional,Sensitive
GCF_900514265.1,EuSCAPE_IT202,0.12,Functional,Functional,Sensitive
GCF_900516355.1,EuSCAPE_ES063,0.12,Functional,Functional,Sensitive
GCF_900516835.1,EuSCAPE_HU022,0.12,Functional,Functional,Sensitive
GCF_900516895.1,EuSCAPE_HU031,0.12,Functional,Functional,Sensitive
GCF_900516915.1,EuSCAPE_HU033,0.12,Functional,Functional,Sensitive
GCF_900502995.1,EuSCAPE_SC033,0.12,Functional,Functional,Sensitive
GCF_900503835.1,EuSCAPE_SC022,0.12,Functional,Functional,Sensitive
GCF_900504675.1,EuSCAPE_UK002,0.12,Functional,Functional,Sensitive
GCF_900505185.1,EuSCAPE_RS034,0.12,Functional,Functional,Sensitive
GCF_900505405.1,EuSCAPE_RS075,0.12,Functional,Functional,Sensitive
GCF_900505465.1,EuSCAPE_RS082,0.12,Functional,Functional,Sensitive
GCF_900508435.1,EuSCAPE_CZ010,0.12,Functional,Functional,Sensitive
GCF_900508475.1,EuSCAPE_CZ026,0.12,Functional,Functional,Sensitive
GCF_900508695.1,EuSCAPE_TR195,0.12,Functional,Functional,Sensitive
GCF_900510145.1,EuSCAPE_PL028,0.12,Functional,Functional,Sensitive
GCF_900511455.1,EuSCAPE_PL022,0.12,Functional,Functional,Unknown
GCF_900511945.1,EuSCAPE_MT006,0.12,Functional,Functional,Unknown
GCF_900511925.1,EuSCAPE_MT008,0.12,Functional,Functional,Unknown
GCF_900512145.1,EuSCAPE_IL001,0.12,Functional,Functional,Unknown
GCF_900513895.1,EuSCAPE_ME009,0.12,Functional,Functional,Unknown
GCF_900513915.1,EuSCAPE_ME012,0.12,Functional,Functional,Unknown
GCF_900516975.1,EuSCAPE_HU037,0.12,Functional,Functional,Unknown
GCF_900517025.1,EuSCAPE_HU042,0.12,Functional,Functional,Unknown
GCF_900517005.1,EuSCAPE_HU047,0.12,Functional,Functional,Unknown
GCF_900517815.1,EuSCAPE_HR107,0.12,Functional,Functional,Unknown
GCF_900501625.1,EuSCAPE_RS001,0.12,Functional,Functional,Unknown
GCF_900501705.1,EuSCAPE_GR079,0.12,Functional,Functional,Unknown
GCF_900502495.1,EuSCAPE_RS006,0.12,Functional,Functional,Unknown
GCF_900503405.1,EuSCAPE_RS018,0.12,Functional,Functional,Unknown
GCF_900503395.1,EuSCAPE_RS025,0.12,Functional,Functional,Unknown
GCF_900503425.1,EuSCAPE_RS033,0.12,Functional,Functional,Unknown
GCF_900503515.1,EuSCAPE_RS060,0.12,Functional,Functional,Unknown
GCF_900503545.1,EuSCAPE_RS067,0.12,Functional,Functional,Unknown
GCF_900503535.1,EuSCAPE_RS071,0.12,Functional,Functional,Unknown
GCF_900503705.1,EuSCAPE_LU014,0.12,Functional,Functional,Unknown
GCF_900504015.1,EuSCAPE_RO047,0.12,Functional,Functional,Unknown
GCF_900504205.1,EuSCAPE_RO070,0.12,Functional,Functional,Unknown
GCF_900505085.1,EuSCAPE_RS012,0.12,Functional,Functional,Unknown
GCF_900505055.1,EuSCAPE_RS014,0.12,Functional,Functional,Unknown
GCF_900505105.1,EuSCAPE_RS022,0.12,Functional,Functional,Unknown
GCF_900505285.1,EuSCAPE_RS050,0.12,Functional,Functional,Unknown
GCF_900505415.1,EuSCAPE_RS069,0.12,Functional,Functional,Unknown
GCF_900505945.1,EuSCAPE_HR046,0.12,Functional,Functional,Unknown
GCF_900506275.1,EuSCAPE_HR088,0.12,Functional,Functional,Unknown
GCF_900506265.1,EuSCAPE_BE022,0.12,Functional,Functional,Unknown
GCF_900506475.1,EuSCAPE_IE043,0.12,Functional,Functional,Unknown
GCF_900506565.1,EuSCAPE_BE018,0.12,Functional,Functional,Unknown
GCF_900509325.1,EuSCAPE_BE039,0.12,Functional,Functional,Unknown
GCF_900507175.1,EuSCAPE_RS119,0.12,Functional,Functional,Unknown
GCF_900508985.1,EuSCAPE_TR254,0.12,Functional,Functional,Unknown
GCF_900510185.1,EuSCAPE_PL031,0.12,Functional,Functional,Unknown
GCF_900510285.1,EuSCAPE_PL036,0.12,Functional,Functional,Unknown
GCF_900510345.1,EuSCAPE_PL060,0.12,Functional,Functional,Unknown
GCF_900511375.1,EuSCAPE_PL012,0.25,Functional,Functional,Resistant
GCF_900513305.1,EuSCAPE_IT071,0.25,Functional,Functional,Resistant
GCF_900510335.1,EuSCAPE_PL057,0.25,Functional,Functional,Sensitive
GCF_900516795.1,EuSCAPE_HU017,0.25,Functional,Functional,Sensitive
GCF_900517265.1,EuSCAPE_ES219,0.25,Functional,Functional,Sensitive
GCF_900502515.1,EuSCAPE_RS009,0.25,Functional,Functional,Sensitive
GCF_900503445.1,EuSCAPE_RS044,0.25,Functional,Functional,Sensitive
GCF_900508315.1,EuSCAPE_PL004,0.25,Functional,Functional,Sensitive
GCF_900511345.1,EuSCAPE_EE021,0.25,Functional,Functional,Unknown
GCF_900511705.1,EuSCAPE_EE006,0.25,Functional,Functional,Unknown
GCF_900512575.1,EuSCAPE_DE053,0.25,Functional,Functional,Unknown
GCF_900501605.1,EuSCAPE_RS007,0.25,Functional,Functional,Unknown
GCF_900503455.1,EuSCAPE_RS035,0.25,Functional,Functional,Unknown
GCF_900503475.1,EuSCAPE_RS038,0.25,Functional,Functional,Unknown
GCF_900503625.1,EuSCAPE_RS099,0.25,Functional,Functional,Unknown
GCF_900505225.1,EuSCAPE_RS041,0.25,Functional,Functional,Unknown
GCF_900505245.1,EuSCAPE_RS047,0.25,Functional,Functional,Unknown
GCF_900505265.1,EuSCAPE_RS048,0.25,Functional,Functional,Unknown
GCF_900505325.1,EuSCAPE_RS056,0.25,Functional,Functional,Unknown
GCF_900505335.1,EuSCAPE_RS058,0.25,Functional,Functional,Unknown
GCF_900505375.1,EuSCAPE_RS063,0.25,Functional,Functional,Unknown
GCF_900505455.1,EuSCAPE_RS080,0.25,Functional,Functional,Unknown
GCF_900505565.1,EuSCAPE_RS094,0.25,Functional,Functional,Unknown
GCF_900509315.1,EuSCAPE_HR031,0.25,Functional,Functional,Unknown
GCF_900506125.1,EuSCAPE_HR071,0.25,Functional,Functional,Unknown
GCF_900506175.1,EuSCAPE_HR076,0.25,Functional,Functional,Unknown
GCF_900509825.1,EuSCAPE_IE021,0.25,Functional,Functional,Unknown
GCF_900507105.1,EuSCAPE_RS106,0.25,Functional,Functional,Unknown
GCF_900507165.1,EuSCAPE_RS115,0.25,Functional,Functional,Unknown
GCF_900508615.1,EuSCAPE_TR190,0.25,Functional,Functional,Unknown
GCF_900511475.1,EuSCAPE_PL040,0.25,Functional,Functional,Unknown
GCF_900516655.1,EuSCAPE_ES102,0.5,Functional,Functional,Sensitive
GCF_900503175.1,EuSCAPE_UK076,0.5,Functional,Functional,Sensitive
GCF_900506345.1,EuSCAPE_IE022,0.5,Functional,Functional,Sensitive
GCF_900509955.1,EuSCAPE_EE005,0.5,Functional,Functional,Unknown
GCF_900500785.1,EuSCAPE_GR046,0.5,Functional,Functional,Unknown
GCF_900510065.1,EuSCAPE_PL007,1,Functional,Functional,Sensitive
GCF_900511005.1,EuSCAPE_CZ013,1,Functional,Functional,Sensitive
GCF_900505155.1,EuSCAPE_RS029,1,Functional,Functional,Sensitive
GCF_900505925.1,EuSCAPE_HR042,1,Functional,Functional,Unknown
GCF_900506225.1,EuSCAPE_HR080,1,Functional,Functional,Unknown
GCF_900510975.1,EuSCAPE_CZ011,2,Functional,Functional,Resistant
GCF_900511065.1,EuSCAPE_CZ024,2,Functional,Functional,Sensitive
GCF_900515605.1,EuSCAPE_IT395,2,Functional,Functional,Sensitive
GCF_900503015.1,EuSCAPE_SI004,2,Functional,Functional,Sensitive
GCF_900503085.1,EuSCAPE_SI021,2,Functional,Functional,Sensitive
GCF_900504865.1,EuSCAPE_UK032,2,Functional,Functional,Sensitive
GCF_900505735.1,EuSCAPE_HR014,2,Functional,Functional,Unknown
GCF_900505885.1,EuSCAPE_HR039,2,Functional,Functional,Unknown
GCF_900511465.1,EuSCAPE_PL038,2,Functional,Functional,Unknown
GCF_900510385.1,EuSCAPE_PL054,≤0.06,Functional,Functional,Resistant
GCF_900509395.1,EuSCAPE_PL033,≤0.06,Functional,Functional,Resistant
GCF_900500755.1,EuSCAPE_ES265,≤0.06,Functional,Functional,Resistant
GCF_900509875.1,EuSCAPE_AT016,≤0.06,Functional,Functional,Sensitive
GCF_900509925.1,EuSCAPE_AT020,≤0.06,Functional,Functional,Sensitive
GCF_900509905.1,EuSCAPE_AT021,≤0.06,Functional,Functional,Sensitive
GCF_900509935.1,EuSCAPE_AT024,≤0.06,Functional,Functional,Sensitive
GCF_900509425.1,EuSCAPE_AT005,≤0.06,Functional,Functional,Sensitive
GCF_900510095.1,EuSCAPE_PL008,≤0.06,Functional,Functional,Sensitive
GCF_900510155.1,EuSCAPE_PL013,≤0.06,Functional,Functional,Sensitive
GCF_900510125.1,EuSCAPE_PL015,≤0.06,Functional,Functional,Sensitive
GCF_900510255.1,EuSCAPE_PL050,≤0.06,Functional,Functional,Sensitive
GCF_900510325.1,EuSCAPE_PL052,≤0.06,Functional,Functional,Sensitive
GCF_900510355.1,EuSCAPE_FR005,≤0.06,Functional,Functional,Sensitive
GCF_900510415.1,EuSCAPE_FR008,≤0.06,Functional,Functional,Sensitive
GCF_900510395.1,EuSCAPE_FR013,≤0.06,Functional,Functional,Sensitive
GCF_900510435.1,EuSCAPE_FR016,≤0.06,Functional,Functional,Sensitive
GCF_900510445.1,EuSCAPE_FR019,≤0.06,Functional,Functional,Sensitive
GCF_900510455.1,EuSCAPE_FR029,≤0.06,Functional,Functional,Sensitive
GCF_900510505.1,EuSCAPE_FR035,≤0.06,Functional,Functional,Sensitive
GCF_900510585.1,EuSCAPE_FR051,≤0.06,Functional,Functional,Sensitive
GCF_900510615.1,EuSCAPE_SK004,≤0.06,Functional,Functional,Sensitive
GCF_900510675.1,EuSCAPE_SK009,≤0.06,Functional,Functional,Sensitive
GCF_900510695.1,EuSCAPE_SK010,≤0.06,Functional,Functional,Sensitive
GCF_900510655.1,EuSCAPE_SK011,≤0.06,Functional,Functional,Sensitive
GCF_900510685.1,EuSCAPE_SK014,≤0.06,Functional,Functional,Sensitive
GCF_900510665.1,EuSCAPE_SK015,≤0.06,Functional,Functional,Sensitive
GCF_900510715.1,EuSCAPE_SK016,≤0.06,Functional,Functional,Sensitive
GCF_900510755.1,EuSCAPE_SK022,≤0.06,Functional,Functional,Sensitive
GCF_900510725.1,EuSCAPE_SK023,≤0.06,Functional,Functional,Sensitive
GCF_900510735.1,EuSCAPE_SK027,≤0.06,Functional,Functional,Sensitive
GCF_900510745.1,EuSCAPE_SK029,≤0.06,Functional,Functional,Sensitive
GCF_900510815.1,EuSCAPE_SK032,≤0.06,Functional,Functional,Sensitive
GCF_900510855.1,EuSCAPE_SK037,≤0.06,Functional,Functional,Sensitive
GCF_900510865.1,EuSCAPE_SK038,≤0.06,Functional,Functional,Sensitive
GCF_900510825.1,EuSCAPE_FR066,≤0.06,Functional,Functional,Sensitive
GCF_900510885.1,EuSCAPE_SK040,≤0.06,Functional,Functional,Sensitive
