strain	species	species_match	contig_count	N50	largest_contig	ST	virulence_score	resistance_score	num_resistance_classes	num_resistance_genes	Yersiniabactin	YbST	Colibactin	CbST	Aerobactin	AbST	Salmochelin	SmST	hypermucoidy	wzi	K_locus	K_locus_problems	K_locus_confidence	K_locus_identity	K_locus_missing_genes	O_locus	O_locus_problems	O_locus_confidence	O_locus_identity	O_locus_missing_genes	Chr_ST	gapA	infB	mdh	pgi	phoE	rpoB	tonB	ybtS	ybtX	ybtQ	ybtP	ybtA	irp2	irp1	ybtU	ybtT	ybtE	fyuA	clbA	clbB	clbC	clbD	clbE	clbF	clbG	clbH	clbI	clbL	clbM	clbN	clbO	clbP	clbQ	AGly	Col	Fcyn	Flq	Gly	MLS	Ntmdz	Phe	Rif	Sul	Tet	Tmt	Bla	Bla_Carb	Bla_ESBL	Bla_ESBL_inhR	Bla_broad	Bla_broad_inhR
ERR474484	Klebsiella pneumoniae	strong	168	247608	990036	ST11	1	1	8	14	ybt 10; ICEKp4	112-2LV	-	0	-	0	-	0	-	wzi24	KL24	-	High	99.99%	KL24_13_wcuG	O2v1	none	Very high	98.52%		ST11	3	3	1	1	1	1	4	3	10	4	3	29	5	122*	3	10	9	51	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Aac3-IIa*;StrB;StrA?;Aph3-Ia*	-	-	ParC-80I;GyrA-83F;GyrA-87A	-	MphA	-	CatB4?;CatA1*	-	SulII	-	-	AmpH*;OXA-1	-	CTX-M-15	-	SHV-11	TEM-30*
ERR474485	Klebsiella pneumoniae	strong	143	330266	1450533	ST1	0	1	9	12	-	0	-	0	-	0	-	0	-	wzi45	KL45	none	Very high	98.41%		O1v2	none	Very high	99.50%		ST1	4	4	1	1	7	4	10	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Aac3-IId*;AadA2*	-	-	ParC-80I;GyrA-83I	-	MphA	-	CatB4?;CatA2*	-	SulI	TetA	DfrA12	SHV-187*;AmpH*;OXA-1	-	CTX-M-15	-	-	TEM-30*
ERR474486	Klebsiella variicola	strong	278	197979	851586	ST250	0	1	5	7	-	0	-	0	-	0	-	0	-	wzi100	KL10	none	Very high	96.76%		O3/O3a	none	Very high	97.97%		ST250	16	18	45	44	55	22	67	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	AadA2;AadB	-	-	Qnr-A1*	-	-	-	-	-	SulI?	TetA*?	-	AmpH*;LEN-24*	-	SHV-12*;CTX-M-9	-	-	-
ERR474487	Klebsiella pneumoniae	strong	111	330354	729878	ST16	0	1	9	12	-	0	-	0	-	0	-	0	-	wzi50	KL51	none	Very high	99.94%		O3b	none	Very high	99.08%		ST16	2	1	2	1	4	4	4	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	AadA2*	-	-	ParC-84K;GyrA-83F;GyrA-87N	-	MphA	-	CatB4?	-	SulI	TetA	DfrA12	AmpH*;OXA-1	-	CTX-M-15	-	-	SHV-26*;TEM-30*
ERR474489	Klebsiella pneumoniae	strong	112	377620	1487271	ST336	1	0	5	5	ybt 15; ICEKp11	230	-	0	-	0	-	0	-	wzi141	KL25	-	High	99.17%	KL25_09_wfeD	O5	*	High	94.21%		ST336	2	1	1	1	72	4	4	6	15	22	4	1	37	34	14	1	4	17	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Aac3-IId*	-	-	-	-	MphA	-	-	-	-	TetD	DfrA30*	AmpH*	-	-	-	-	TEM-30*
ERR474490	Klebsiella pneumoniae	strong	176	224737	466909	ST15	0	1	7	10	-	0	-	0	-	0	-	0	-	wzi93	KL112	none	Very high	98.65%		O1v1	none	Very high	98.52%		ST15	1	1	1	1	1	1	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	StrB;StrA*	-	-	ParC-80I;GyrA-83F;GyrA-87A	-	-	-	-	-	SulII	TetA	DfrA14	SHV-28*;AmpH*	-	CTX-M-15	-	-	TEM-30*
ERR474492	Klebsiella pneumoniae	strong	194	357132	974032	ST147	0	1	6	11	-	0	-	0	-	0	-	0	-	wzi64	KL64	none	Perfect	100.00%		O2v1	none	Very high	98.64%		ST147	3	4	6	1	7	4	38	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	StrB;StrA*;Aac3-IId*;AadA1-pm*?;Aac6-Ib	-	-	ParC-80I;GyrA-83I	-	-	-	-	-	SulII	-	DfrA14	AmpH*;SHV-67*;OXA-9*	-	CTX-M-15	-	TEM-135*	-
ERR474493	Klebsiella pneumoniae	strong	108	342302	891880	ST111-1LV	1	0	0	0	ybt 6; ICEKp5	63-3LV	-	0	-	0	-	0	-	wzi63	KL63	none	Very high	99.37%		O1v2	none	Very high	99.29%		ST111-1LV	2	1	5	1	17	4	42*	22	22	6*	24	16	53*	51	9	17	5	30*	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	SHV-187*;AmpH*	-	-	-	-	-
ERR474494	Klebsiella pneumoniae	strong	122	484294	796033	ST1686	0	0	0	0	-	0	-	0	-	0	-	0	-	wzi351	KL113	*	Very high	96.65%		O1v1	none	Very high	98.30%		ST1686	101	1	1	1	9	1	10	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	AmpH*;SHV-28*	-	-	-	-	-
ERR474496	Klebsiella pneumoniae	strong	174	200290	469648	ST15	1	1	7	13	ybt 13; ICEKp2	299	-	0	-	0	-	0	-	wzi24	KL24	?-	Good	99.99%	KL24_14_wzy	O1v1	none	Very high	98.52%		ST15	1	1	1	1	1	1	1	6	4	20	14	1	126	131	2	4	52	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	StrB*;StrA*;Aac3-IIa*;AadA1-pm*?	-	-	ParC-80I;GyrA-83F;GyrA-87A	-	-	-	CatB4?;CatA2*	-	SulII	-	DfrA14	AmpH*;SHV-28*;OXA-9;OXA-1	-	CTX-M-15	-	-	TEM-54*
ERR474497	Klebsiella pneumoniae	strong	164	198617	469649	ST15	1	1	7	12	ybt 13; ICEKp2	299	-	0	-	0	-	0	-	wzi24	KL24	?-	Good	99.99%	KL24_14_wzy	O1v1	none	Very high	98.52%		ST15	1	1	1	1	1	1	1	6	4	20	14	1	126	131	2	4	52	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	StrB*;StrA*;AadA1-pm*?;Aac6-Ib	-	-	ParC-80I;GyrA-83F;GyrA-87A	-	-	-	CatA2*	-	SulII	-	DfrA14	AmpH*;SHV-28*;OXA-9	-	CTX-M-15	-	-	TEM-54*
ERR474498	Klebsiella variicola	strong	402	189942	479336	ST1608-1LV	0	0	0	0	-	0	-	0	-	0	-	0	-	wzi51	KL46	*	High	92.90%		O5	none	Very high	99.63%		ST1608-1LV	29	24	46	27	47	22	341	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	AmpH*;LEN-24*	-	-	-	-	-
ERR474500	Klebsiella pneumoniae	strong	209	191382	632863	ST874	0	1	10	18	-	0	-	0	-	0	-	0	-	wzi222	KL45	none	Very high	98.41%		O1v2	none	Very high	99.49%		ST874	4	1	1	1	7	1	22	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Aac3-IIa*;StrB?;StrA?;AadA5;Aph3-Ia*	-	-	ParC-80I;GyrA-83Y;GyrA-87N	-	MphA	-	CatB4?	-	SulII*;SulI	TetD	DfrA17;DfrA7	AmpH*;OXA-1	-	CTX-M-15	-	SHV-1*?	TEM-30*
ERR474501	Klebsiella pneumoniae	strong	120	243228	445548	ST15	1	1	6	10	ybt 10; ICEKp4	84-2LV	-	0	-	0	-	0	-	wzi93	KL112	none	Very high	98.65%		O1v1	none	Very high	98.52%		ST15	1	1	1	1	1	1	1	3	12	4*	3	14	50	216	3	15	8	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	StrB;StrA*;Aac3-IIa*	-	-	ParC-80I;GyrA-83F;GyrA-87A	-	-	-	CatB4?	-	SulII	-	-	AmpH*;SHV-28*;OXA-1	-	CTX-M-15	-	-	TEM-30*
ERR474502	Klebsiella pneumoniae	strong	228	191381	632901	ST874	0	1	10	18	-	0	-	0	-	0	-	0	-	wzi222	KL45	none	Very high	98.41%		O1v2	none	Very high	99.49%		ST874	4	1	1	1	7	1	22	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Aac3-IIa*;StrB?;StrA?;AadA5;Aph3-Ia*	-	-	ParC-80I;GyrA-83Y;GyrA-87N	-	MphA	-	CatB4?	-	SulII*;SulI	TetD	DfrA17;DfrA7	AmpH*;OXA-1	-	CTX-M-15	-	SHV-1?	TEM-30*
ERR474503	Klebsiella pneumoniae	strong	87	329091	586529	ST45-2LV	0	0	1	1	-	0	-	0	-	0	-	0	-	0	KL38	*	Very high	96.71%		O12	none	Very high	98.01%		ST45-2LV	2	1	1	5	7	1	271	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	AmpH*	-	-	-	SHV-25	-
ERR474504	Klebsiella pneumoniae	strong	276	112067	355757	ST34-2LV	0	0	1	1	-	0	-	0	-	0	-	0	-	0	KL40	?-*	None	84.72%	KL40_12_wbaP,KL40_13_wzy,KL40_14_wcuD,KL40_15_wcpR,KL40_16_wzx,KL40_17_wcpS,KL40_18_wbaZ,KL40_19,KL40_20_wcuE,KL40_24_rmlB,KL40_25_rmlA,KL40_26_rmlD,KL40_27_rmlC	O2v2	none	Very high	98.53%		ST34-2LV	2	3	6	1	9*	7	4*	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	AmpH*	-	-	-	-	SHV-26
ERR474507	Klebsiella pneumoniae	strong	124	293158	586523	ST16	0	1	8	10	-	0	-	0	-	0	-	0	-	wzi50	KL51	-	High	99.93%	KL51_14_wcoZ	O3b	none	Very high	99.08%		ST16	2	1	2	1	4	4	4	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	AadA2*	-	-	ParC-84K;GyrA-83F;GyrA-87N	-	MphA	-	CatB4?	-	SulI	-	DfrA12	AmpH*;OXA-1	-	CTX-M-15	-	-	SHV-26*
ERR474508	Klebsiella pneumoniae	strong	89	389511	1561688	ST336	1	1	7	9	ybt 15; ICEKp11	230	-	0	-	0	-	0	-	wzi141	KL25	-	High	99.16%	KL25_09_wfeD	O5	*	High	94.21%		ST336	2	1	1	1	72	4	4	6	15	22	4	1	37	34	14	1	4	17	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	StrB;StrA*;Aph3-Ia*	-	-	QnrB1?	-	-	-	CatB4?	-	SulII*	-	DfrA14	SHV-187*;AmpH*;OXA-1	-	CTX-M-15	-	-	TEM-30*
ERR474509	Klebsiella pneumoniae	strong	340	153046	387827	ST27-1LV	0	1	1	1	-	0	-	0	-	0	-	0	-	wzi281	KL38	none	Very high	99.65%		O3b	none	Very high	99.14%		ST27-1LV	2	1	11	1	9	10	18	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	AmpH*	-	SHV-40	-	-	-
ERR474510	Klebsiella pneumoniae	strong	172	247430	839289	ST11	0	1	8	12	-	0	-	0	-	0	-	0	-	wzi177	KL125	*	High	90.39%		O3b	none	Very high	99.05%		ST11	3	3	1	1	1	1	4	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Aac3-IId*;Aph3-Ia*	-	-	ParC-80I;GyrA-83I	-	MphA	-	CatB4?	-	-	TetA;TetD	DfrA14	AmpH*;OXA-1	-	SHV-12?;CTX-M-15	-	-	TEM-30*
ERR474512	Klebsiella pneumoniae	strong	153	247607	786966	ST11	0	1	8	12	-	0	-	0	-	0	-	0	-	wzi177	KL125	*	High	90.39%		O3b	none	Very high	99.05%		ST11	3	3	1	1	1	1	4	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Aac3-IId*;Aac3-IId*	-	-	ParC-80I;GyrA-83I	-	-	-	CatA2*	-	-	TetD	DfrA14	AmpH*	-	CTX-M-15?	-	SHV-11	TEM-30*;TEM-30*;TEM-30*
ERR474513	Klebsiella pneumoniae	strong	107	288907	679558	ST15	1	0	1	3	ybt 10; ICEKp4	104	-	0	-	0	-	0	-	wzi93	KL112	none	Very high	98.65%		O1v1	none	Very high	98.52%		ST15	1	1	1	1	1	1	1	3	3	4	3	17	56	7	18	3	3	32	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	ParC-80I;GyrA-83F;GyrA-87A	-	-	-	-	-	-	-	-	SHV-28*;AmpH*	-	-	-	-	-
ERR474514	Klebsiella pneumoniae	strong	165	270182	498937	ST874-1LV	0	1	10	17	-	0	-	0	-	0	-	0	-	wzi222	KL45	?	Good	98.45%		O1v2	none	Very high	99.48%		ST874-1LV	4	1	1	1	7*	1	22	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	AadA2*;StrB;StrA;Aac3-IIa*;Aph3-Ia*	MgrB-72%	-	ParC-80I;GyrA-83Y;GyrA-87N	-	MphA	-	CatB4?	-	SulI;SulII	TetA	DfrA12	AmpH*;SHV-121;OXA-1	-	CTX-M-15	-	-	TEM-30*
ERR474516	Klebsiella variicola	strong	208	246152	482146	ST925	0	0	1	1	-	0	-	0	-	0	-	0	-	wzi51	KL46	?-*	Good	92.88%	KL46_18_manC	O5	?-	Good	99.62%	O5_01_manC,O5_02_manB	ST925	16	18	21	27	153	40	85	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	GyrA-83F	-	-	-	-	-	-	-	-	AmpH*;LEN-24*	-	-	-	-	-
ERR474517	Klebsiella pneumoniae	strong	203	173103	377430	ST377	0	1	6	11	-	0	-	0	-	0	-	0	-	wzi173	KL102	none	Very high	99.44%		O2v2	none	Very high	98.54%		ST377	10	20	2	1	9	11	12	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	AadA1-pm*?;Aac3-IIa*	-	-	QnrB2;ParC-80I;GyrA-83Y;GyrA-87A	-	-	-	CatB4?	-	SulI*;SulI*	-	DfrA15b*	AmpH*;SHV-110;OXA-1	-	CTX-M-15	-	-	-
ERR474518	Klebsiella pneumoniae	strong	163	181359	801169	ST11	0	0	7	9	-	0	-	0	-	0	-	0	-	wzi50	KL15	none	Very high	99.83%		O4	?	Good	99.66%		ST11	3	3	1	1	1	1	4	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	AadA2*	-	-	ParC-80I;GyrA-83I	-	MphA	-	CatA1*;CatB4?	-	SulI	-	DfrA12	AmpH*;OXA-1	-	-	-	SHV-11	-
ERR474520	Klebsiella pneumoniae	strong	149	198502	456249	ST15	1	1	2	4	ybt 13; ICEKp2	299	-	0	-	0	-	0	-	wzi24	KL24	?-	Good	99.99%	KL24_14_wzy	O1v1	none	Very high	98.52%		ST15	1	1	1	1	1	1	1	6	4	20	14	1	126	131	2	4	52	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	ParC-80I;GyrA-83F;GyrA-87A	-	-	-	-	-	-	-	-	SHV-28*;AmpH*	-	CTX-M-15	-	-	-
ERR474522	Klebsiella pneumoniae	strong	99	492109	1423636	ST16	0	1	9	12	-	0	-	0	-	0	-	0	-	wzi50	KL51	none	Very high	99.94%		O3b	none	Very high	99.08%		ST16	2	1	2	1	4	4	4	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	AadA2*	-	-	ParC-84K;GyrA-83F;GyrA-87N	-	MphA	-	CatB4?	-	SulI	TetA	DfrA12	AmpH*;OXA-1	-	CTX-M-15	-	-	SHV-26*;TEM-30*
ERR474524	Klebsiella pneumoniae	strong	107	250536	964496	ST37	0	1	2	2	-	0	-	0	-	0	-	0	-	wzi50	KL52	?-	Good	97.98%	KL52_19_rmlA,KL52_21_rmlC	OL101	?-+*	Good	91.91%	OL101_02_rfbA,OL101_04_rfbC,OL101_05_wbbL	ST37	2	9	2	1	13	1	16	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Aac3-IId*	-	-	-	-	-	-	-	-	-	-	-	SHV-187*;AmpH*	-	TEM-106*	-	-	-
ERR474525	Klebsiella pneumoniae	strong	176	245671	641947	ST874-1LV	0	1	9	16	-	0	-	0	-	0	-	0	-	wzi222	KL45	?-	Good	98.42%	KL45_08_wcaJ	O1v2	none	Very high	99.48%		ST874-1LV	4	1	1	1	7*	1	22	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	AadA2*;StrB;StrA;Aac3-IIa*;Aph3-Ia*	-	-	ParC-80I;GyrA-83Y;GyrA-87N	-	MphA	-	CatB4?	-	SulI;SulII	TetA	DfrA12	AmpH*;SHV-121;OXA-1	-	CTX-M-15	-	-	TEM-30*
ERR474527	Klebsiella pneumoniae	strong	131	177504	574030	ST372-1LV	0	0	1	1	-	0	-	0	-	0	-	0	-	wzi95	KL60	?-+*	Good	97.08%	KL60_19_manB	O5	?-*	Good	94.32%	O5_02_manB	ST372-1LV	2	1	1	1	1	15	4	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	AmpH*	-	-	-	SHV-61	-
ERR474530	Klebsiella pneumoniae	strong	138	201328	409889	ST15	0	1	5	7	-	0	-	0	-	0	-	0	-	wzi93	KL112	none	Very high	98.65%		O1v1	none	Very high	98.52%		ST15	1	1	1	1	1	1	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Aac3-IIa*	-	-	ParC-80I;GyrA-83F;GyrA-87A	-	-	-	CatB4?	-	-	TetA	-	AmpH*;SHV-28*;OXA-1	-	CTX-M-15	-	-	-
ERR474531	Klebsiella pneumoniae	strong	251	132439	370865	ST15	0	1	5	8	-	0	-	0	-	0	-	0	-	wzi93	KL112	none	Very high	98.65%		O1v1	none	Very high	98.52%		ST15	1	1	1	1	1	1	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Aac3-IIa*	-	-	QnrB1;ParC-80I;GyrA-83F;GyrA-87A	-	-	-	CatB4?	-	-	TetA	-	AmpH*;OXA-1	-	CTX-M-15	-	-	-
ERR474532	Klebsiella pneumoniae	strong	120	284428	713334	ST15	0	0	6	10	-	0	-	0	-	0	-	0	-	wzi19	KL19	*	High	94.91%		O1v2	none	Perfect	100.00%		ST15	1	1	1	1	1	1	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	AadA2*;StrB;StrA	-	-	ParC-80I;GyrA-83F;GyrA-87A	-	-	-	CatA1*	-	SulI	TetA	DfrA12	AmpH*;SHV-28*	-	-	-	-	-
ERR474534	Klebsiella pneumoniae	strong	125	377294	729420	ST16	0	1	9	12	-	0	-	0	-	0	-	0	-	wzi50	KL51	none	Very high	99.94%		O3b	none	Very high	99.08%		ST16	2	1	2	1	4	4	4	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	AadA2*	-	-	ParC-84K;GyrA-83F;GyrA-87N	-	MphA	-	CatB4?	-	SulI	TetA	DfrA12	AmpH*;OXA-1	-	CTX-M-15	-	-	SHV-26*;TEM-30*
